Aircraft Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AircraftID,EquipmentType,TypeCode,Year,Make,Model,Category,Class,GearType,EngineType,Complex,HighPerformance,Pressurized,TAA
PH-ALI,,,,Cessna,C150,1,5,,,False,False,,
PH-GRA,,,,Cessna,C150,1,5,,,False,False,,
PH-SKF,,,,Cessna,C150,1,5,,,False,False,,
PH-VRW,,,,Cessna,C150,1,5,,,False,False,,
PH-RVX,,,,Cessna,C150,1,5,,,False,False,,
PH-BVL,,,,Cessna,C172,1,5,,,False,False,,
PH-ASY,,,,Cessna,C172,1,5,,,False,False,,
PH-GVE,,,,Cessna,C172,1,5,,,False,False,,
PH-LIN,,,,Cessna,C172,1,5,,,False,False,,
N3994F,,,,Piper,P28R,1,5,,,True,False,,
N170ND,,,,Piper,P28R,1,5,,,True,False,,
UR-BLH,,,,Yakovlev,YAK52,1,5,,,True,True,,
UR-BLA,,,,Yakovlev,YAK52,1,5,,,True,True,,
PH-DAG,,,,Mooney,M20J,1,5,,,True,True,,
PH-PIE,,,,Piper,P28R,1,5,,,True,False,,
PH-LFD,,,,Piper,P32R,1,5,,,True,True,,
PH-EVS,,,,,F132,1,5,,,False,False,,
N47455,,,,Piper,P28R,1,5,,,True,False,,
N4826Q,,,,Piper,P28R,1,5,,,True,False,,
132,,,,,F132,1,5,,,False,False,,
N21803,,,,Piper,P28R,1,5,,,True,False,,
N39WT,,,,Piper,P28R,1,5,,,True,False,,
N15379,,,,Piper,P28R,1,5,,,True,False,,
N57368,,,,Piper,PA34,1,5,,,False,False,,
N4581T,,,,Piper,PA34,1,5,,,False,False,,
N100HQ,,,,Mooney,M20J,1,5,,,True,True,,
N8292A,,,,,P28A,1,5,,,False,False,,
N42RG,,,,Piper,P32R,1,5,,,True,True,,
N39777,,,,Piper,PA44,1,5,,,True,False,,
PH-WSF,,,,,P28A,1,5,,,False,False,,
N1927H,,,,Piper,P28R,1,5,,,True,False,,
PH-EDD,,,,,P28A,1,5,,,False,False,,
N24516,,,,Cessna,C150,1,5,,,False,False,,
N41298,,,,Piper,PA34,1,5,,,True,False,,
N6612V,,,,,C72R,1,5,,,True,False,,
N44159,,,,Piper,PA34,1,5,,,True,False,,
N775SP,,,,Cessna,C172,1,5,,,False,False,,
N83223,,,,Piper,PA44,1,5,,,True,False,,
N4AW,,,,,C177,1,5,,,True,False,,
N202AS,,,,,P28A,1,5,,,False,False,,
N9209A,,,,,PA38,1,5,,,False,False,,
N465TC,,,,,P28A,1,5,,,False,False,,
N114N,,,,Piper,PA44,1,5,,,True,False,,
N366FS,,,,Maule,M7,1,5,,,True,True,,
PH-SVS,,,,,F121,1,5,,,False,False,,
PH-WCU,,,,Piper,P28R,1,5,,,True,False,,
PH-OSD,,,,,BE76,1,5,,,True,False,,
NL98/8,,,,Beechcraft,B200,2,5,,,False,False,,
CAE-AMS,,,,Fokker,F100,2,5,,,False,False,,
PH-RCF,,,,Cessna,C172,1,5,,,False,False,,
EIA-B,,,,Airbus,A320,2,5,,,False,False,,
EIA-023,,,,Airbus,A320,2,5,,,False,False,,
UK-GE-322,,,,Airbus,A320,2,5,,,False,False,,
UK-FB-284,,,,Airbus,A320,2,5,,,False,False,,
HA-LPC,,,,Airbus,A320,2,5,,,True,True,,
PH-ACH,,,,Cessna,C150,1,5,,,False,False,,
HA-LPO,,,,Airbus,A320,2,5,,,True,True,,
HA-LPL,,,,Airbus,A320,2,5,,,True,True,,
HA-LPB,,,,Airbus,A320,2,5,,,True,True,,
HA-LPJ,,,,Airbus,A320,2,5,,,True,True,,
HA-LPR,,,,Airbus,A320,2,5,,,True,True,,
HA-LPI,,,,Airbus,A320,2,5,,,True,True,,
HA-LPQ,,,,Airbus,A320,2,5,,,True,True,,
HA-LPH,,,,Airbus,A320,2,5,,,True,True,,
HA-LPK,,,,Airbus,A320,2,5,,,True,True,,
HA-LPE,,,,Airbus,A320,2,5,,,True,True,,
HA-LPD,,,,Airbus,A320,2,5,,,True,True,,
HA-LPA,,,,Airbus,A320,2,5,,,True,True,,
PH-HIL,,,,Cessna,C150,1,5,,,False,False,,
HA-LPN,,,,Airbus,A320,2,5,,,True,True,,
HA-LPF,,,,Airbus,A320,2,5,,,True,True,,
HA-LPM,,,,Airbus,A320,2,5,,,True,True,,
SP-RBA,,,,Cessna,C152,1,5,,,False,False,,
HA-LPT,,,,Airbus,A320,2,5,,,True,True,,
HA-LPS,,,,Airbus,A320,2,5,,,True,True,,
HA-JUT,,,,Cessna,C172,1,5,,,False,False,,
SP-KSO,,,,Cessna,C150,1,5,,,False,False,,
HA-LPX,,,,Airbus,A320,2,5,,,True,True,,
N376SR,,,,Cirrus,SR22,1,5,,,False,True,,
HA-LPV,,,,Airbus,A320,2,5,,,True,True,,
HA-LPW,,,,Airbus,A320,2,5,,,True,True,,
HA-LPU,,,,Airbus,A320,2,5,,,True,True,,
HA-LPZ,,,,Airbus,A320,2,5,,,True,True,,
HA-SLE,,,,Cessna,C172,1,5,,,False,False,,
HA-LWA,,,,Airbus,A320,2,5,,,True,True,,
HA-LWC,,,,Airbus,A320,2,5,,,True,True,,
HA-LWB,,,,Airbus,A320,2,5,,,True,True,,
HA-LPY,,,,Airbus,A320,2,5,,,True,True,,
HA-LWD,,,,Airbus,A320,2,5,,,True,True,,
OK-MEX,,,,,PA34,1,5,,,False,False,,
UK-GE-193,,,,Airbus,A320,2,5,,,False,False,,
OK-HKC,,,,Cessna,C150,1,5,,,False,False,,
OK-SOB,,,,Cessna,C172,1,5,,,False,False,,
OK-FOX,,,,Cessna,C150,1,5,,,False,False,,
FI-014AZ,,,,Airbus,A320,2,5,,,False,False,,
OK-PES,,,,Cessna,C150,1,5,,,False,False,,
OK-KUN,,,,Cessna,C172,1,5,,,False,False,,
OK-LNK,,,,Zlin,Z142,1,5,,,True,True,,
OK-ABC,,,,Cessna,C172,1,5,,,False,False,,
OK-EYE,,,,Cessna,C172,1,5,,,False,False,,
HA-LWL,,,,Airbus,A320,2,5,,,True,True,,
OK-JFK,,,,,ATR42,2,5,,,False,False,,
OK-TUR,,,,Cessna,C172,1,5,,,False,False,,
UK-GE-240,,,,Airbus,A320,2,5,,,False,False,,
OK-SUP,,,,Cessna,C152,1,5,,,False,False,,
HA-LWK,,,,Airbus,A320,2,5,,,True,True,,
OK-TWI,,,,Cirrus,SR20,1,5,,,False,True,,
OK-HAD,,,,Cessna,C152,1,5,,,False,False,,
HA-LWO,,,,Airbus,A320,2,5,,,True,True,,
HA-LWP,,,,Airbus,A320,2,5,,,True,True,,
OK-RTA,,,,Cirrus,SR22,1,5,,,True,True,,
UK-GE-547,,,,Airbus,A320,2,5,,,False,False,,
HA-LWN,,,,Airbus,A320,2,5,,,True,True,,
HA-LWF,,,,Airbus,A320,2,5,,,True,True,,
CZ-08B,,,,Airbus,A320,2,5,,,False,False,,
NL-203Z,,,,Airbus,A320,2,5,,,False,False,,
TC-JTD,,,,Airbus,A321,2,5,,,False,False,,
TC-JLM,,,,Airbus,A319,2,5,,,False,False,,
TC-JUB,,,,Airbus,A319,2,5,,,False,False,,
TC-JUI,,,,Airbus,A320,2,5,,,False,False,,
TC-JPG,,,,Airbus,A320,2,5,,,False,False,,
